Groupwise Bifurcation of Institutions for Approval Process 2025-26,,,,,,,
170,1-442138911,"DR. JIVRAJ N. MEHTA GOVERNMENT
POLYTECHNIC, AMRELI",Central,Gujarat,AMRELI,AMRELI,Group-1
171,1-6504386,"DR. S. & S. S. GHANDHY GOVERNMENT
ENGINEERING COLLEGE, SURAT.",Central,Gujarat,SURAT,SURAT,Group-1
172,1-445039751,"DR. S.&S.S. GHANDHY COLLEGE OF
ENGINEERING & TECHNOLOGY",Central,Gujarat,SURAT,SURAT,Group-1
173,1-5368841,DR. SUBHASH UNIVERSITY,Central,Gujarat,JUNAGADH,JUNAGADH,Group-1
174,1-3364413261,"DR. V. R. GODHANIA COLLEGE OF ENGINEERING
& TECHNOLOGY",Central,Gujarat,PORBANDAR,CHHAYA,Group-1
175,1-2183858641,DR.NATUBHAI.P.PATEL POLYTECHNIC,Central,Gujarat,MEHSANA,JOTANA,Group-1
176,1-1002563391,"ELECTRONICS AND MECHANICAL ENGINEERING
SCHOOL",Central,Gujarat,VADODARA,VADODARA,Group-1
177,1-715036277,"ELECTRONICS AND MECHANICAL ENGINEERING
SCHOOL",Central,Gujarat,VADODARA,VADODARA,Group-1
178,1-2388932,"ENGINEERING COLLEGE, TUWA",Central,Gujarat,PANCHMAHAL,TUWA,Group-1
179,1-17764851,"ENTREPRENEURSHIP DEVELOPMENT INSTITUTE
OF INDIA",Central,Gujarat,GANDHINAGAR,BHAT,Group-1
180,1-433702761,EXCEL INSTITUTE OF DIPLOMA STUDIES,Central,Gujarat,GANDHINAGAR,KALOL,Group-1
181,1-447713131,"F.D.(MUBIN) INSTITUTE OF ENGINEERING &
TECHNOLOGY",Central,Gujarat,GANDHINAGAR,BAHIYAL,Group-1
182,1-837271951,FACULTY OF DIPLOMA ENGINEERING,Central,Gujarat,VADODARA,VADODARA,Group-1
183,1-422761623,"FACULTY OF TECHNOLOGY & ENGINEERING,
THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA",Central,Gujarat,VADODARA,VADODARA,Group-1
184,1-4813901,"G H PATEL COLLEGE OF ENGINEERING &
TECHNOLOGY",Central,Gujarat,ANAND,"VALLABH
VIDYANAGAR",Group-1
185,1-4567821,GANDHINAGAR INSTITUTE OF TECHNOLOGY,Central,Gujarat,GANDHINAGAR,MOTI BHOYAN,Group-1
186,1-7416116,"GEETANJALI INSTITUTE OF MANAGMENT
STUDIES-RAJKOT",Central,Gujarat,RAJKOT,RAJKOT,Group-1
187,1-44060047498,GENEVA INSTITUTE OF MANAGEMENT STUDIES,Central,Gujarat,AHMEDABAD,AHMADABAD,Group-1
188,1-730259821,GIDC DEGREE ENGINERING COLLEGE,Central,Gujarat,NAVSARI,ABRAMA,Group-1
189,1-8698761,"GIDC RAJJU SHROFF ROFEL INSTITUTE OF
MANAGEMENT STUDIES",Central,Gujarat,VALSAD,VAPI,Group-1
190,1-4699944,"GLS (SHAILESH R. PARIKH) INSTITUTE OF
COMPUTER TECHNOLOGY",Central,Gujarat,AHMEDABAD,AHMEDABAD,Group-1
